ALECRIM ROSMARINHO ( Rosmarinus officinalis);O Alecrim é uma erva aromática comum na região do Mediterrâneo ocorrendo dos 0 a 1500 metros de altitude, preferencialmente em solos de origem calcária. Devido ao seu aroma característico, os romanos designavam-no como rosmarinus, que em latim significa orvalho do mar.
ALFACE BOSTON BRANCA (Lactua sativa);Folha lisa repolhuda de cor verde-clara. Sementes brancas.
ALFACE BRUNELA ORGÂNICA (Lactuca sativa L);"Folhas crocantes frisadas e de coloração verde clara, mas não forma cabeça. Durabilidade pós colheita, resistente ao pendoamento, bom rendimento, inclusive no verão, em estufas ou campo."
ALFACE CROCANTELA ORGÂNICA (Lactuca sativa L);"Planta de porte grande com muitas folhas de coloração verde-clara e crocante. Porte grande, durabilidade no pós-colheita, resistente ao pendoamento e cultivo o ano todo."
ALFACE ITAPUA SUPER (Lactuca sativa.);"Elevada tolerância ao pendoamento.Cabeça grande e volumosa.Tolerância a Tip Burn (deficiência de cálcio).Cultivo o ano todo.Sementes peletizadas."
ALFACE LISA ORGÂNICA (Lactuca sativa);Folhas lisas e coloração verde-clara. Boa periodicidade, boa adaptação ao cultivo orgânico, maior produção de raiz, plantas grandes e de formato cúbico.
ALFACE MIMOSA SALADA BOWL (Lactuca sativa.);Variedade crespa, folhas na cor verde claro brilhante, e nervuras crocantes.
ALFACE QUATRO ESTAÇÕES (Lactuca sativa.);Variedade com folha lisa repolhuda, na cor verde-avermelhada, com sementes pretas.
ALFACE VERA ORGÂNICA (Lactuca sativa L);Folhas largas com alta crespicidade. Bom desempenho em campo e ambiente protegido, tolerância ao pendoamento precoce e plantas de porte grande.
ALFAVACA (Ocimum basilicum);
Name;Description
ALFAZEMA (Lavandula latifólia);
ALHO PORÓ (Allium porrum);
ALHO PORO DE CARRENTAN (Allium porrum);"O Alho poró ou alho-francês como é conhecido, Allium porrum, é da família das Alliaceae, mesmo genero da cebola e do alho. Dispõem de folhas compridas, largas e verdes. O talo, mais utilizado na culinária, é branco e tenro.É uma hortaliça aromática originária da Europa, planta símbolo do País de Gales."
ALHO SOCIAL (Tulbaghia violacea);
ALMEIRAO AMARELO ( Cichorium intybus intybus.);Conhecida também por ser uma planta com propriedades medicinais o almeirão já vem sendo usado há muito tempo com este propósito. Desde a época dos antigos romanos ele era utilizado para tratar distúrbios do fígado.
ALPINEA PURPURATA (Alpinia purpurata);
ALYSSUM ANÃO ROXO CARPET QUEEN (Lobularia maritima.);Sementes de flor-de-mel roxa, também conhecida como álisso, uma planta com perfume de mel. Uma planta magnífica para agradar as crianças e ensinar-lhes sobre a natureza.
ALYSSUM BRANCO BENTHAMI COMPACTO (Lobularia maritima.);Sementes de flor-de-mel, também conhecida como álisso, uma planta com perfume de mel. Uma planta magnífica para agradar as crianças e ensinar-lhes sobre a natureza.
AMEIXA AMARELA (Eriobotrya japonica);
AMENDOIM DO CAMPO ( Platypodium elegans);A árvore é muito bonita, por possuir flores amarelas atraentes e possui características ornamentais, podendo ser utilizada no paisagismo e para arborização urbana de ruas e avenidas.
AMENDOIM FORRAGEIRO  (Arachis pintoi);O Amendoim forrageiro (Arachis pintoi) é indicado para cobertura de solos em culturas perenes como pomares, com o objetivo de controlar erosões, jardins, competir com as ervas daninhas e fixar nitrogênio atmosférico, além de servir como forrageira rica em proteína bruta e muito palatável. Trata-se uma leguminosa muito ornamental com alto potencial para fixação de nitrogênio do ar, chegando a 150 kg/ha/ano
AMOR AGARRADINHO (Antihonon leptopus);
AMOR PERFEITO CRESPO ROCOCO SORTIDO ( Viola x Wittrockiana);"O Amor-Perfeito é a rainha dos jardins no inverno com uma beleza delicada que encanta a todos. Suas flores são grandes, muito vistosas e tem o aspecto de ""carinha"". Apresenta ramagem verde-escura, macia. A floração inicia-se no inverno e permanece durante a primavera. Deve ser cultivada sempre a pleno sol, em solos ricos em matéria orgânica regados frequentemente. É muito versátil, podendo ser plantada em vasos e jardins, formando maciços e bordaduras, muito belos e coloridos. Aprecia o frio."
AMOR PERFEITO GIGANTE SUIÇO SORTIDO ( Viola tricolor.);Ótima para floreiras, forração e bordaduras, também recomendada para saquinhos e vasos. Depurativo: usar flores maceradas.
AMOR PERFEITO MINI DOBRADO SCOTCH (Viola tricolor.);"Sementes de Mini Amor-Perfeito, a rainha dos jardins no inverno com uma beleza delicada que encanta a todos. Suas flores são pequenas, em cores sortidas, muito vistosas tem o aspecto de ""carinha"". Apresenta ramagem verde-escura, macia. A floração inicia-se no inverno e permanece durante a primavera."
AMORA BRANCA (Morus alba);
AMORA PRETA (Morus Nigra);
ANADOR (Justicia pectoralis);
ANDA ASSU (Joanesia princeps.);Espécie útil para o sombreamento de pastagens e desaconselhada para arborização urbana, por virtude do tamanho e peso dos frutos.
ANETO ENDRO (Anethum graveolens);Anethum graveolens, também conhecido por endro ou aneto, é uma planta anual da família das Apiáceas, originária da região situada entre o Cáucaso e o Crescente Fértil. É a única espécie no género Anethun.
Name;Description
ANGELIM  ( Sweetia fruticosa.);"Conhecido como Angelim Vermelho, angelim verdadeiro, angelim pedra verdadeiro, fava-grande, faveira-dura e faveira-ferro, angelim falso, faveira preta, kuraru, parakwa. É árvore gigantesca (até 60 m), com fuste cilíndrico e reto e grande diâmetro (mais de 2m); presença de sapopemas, quanto a casca é avermelhada e comum soltar-se em placas."
ANGICO AMARELO ( Parapiptadenia rigida);A árvore Angico Amarelo é de porte médio a grande, comumente encontrado em capoeiras ou na colonização de áreas abertas. A muda de Angico Vermelho apresenta fácil adaptação às quaisquer condições físicas do solo e é indicada para atrair abelhas. No inverno perdem totalmente as folhas. Além disso, o Angico Vermelho possui características ornamentais que a recomendam para o paisagismo em geral.
ANGICO DO CERRADO (Anadenanthera falcata.);A planta possui características ornamentais que a recomendam para o paisagismo em geral.
ARAÇA AMARELO (Psidium cattleianum);Arvoreta de porte médio, chega a crescer em média até 9 metros de altura, florescendo de junho a dezembro. Produz fruto pequeno, de polpa cremosa e sabor semelhante a goiaba, cheio de sementes. Suas flores são também pequenas, brancas e solitárias.
ARAÇÁ AMARELO (Psidium cattleianum);
ARAÇA BOI (Eugenia stipitata);
ARAÇA DO CAMPO ( Psidium cattleianum.);Fazendo parte da mesma família da jabuticaba e da goiaba (família Mirtacea), o araçá é uma fruta que possui espécies variadas. O nome araçá vem do tupi e significa “planta que tem olhos”, em alusão às suas sépalas, que dão a aparência de um olho no fruto.
ARAÇA ROXO ( Psidium Myrtoides.);O Araçá-Roxo é uma árvore brasileira da floresta ombrófila densa da Mata Atlântica, não pioneira, restrita ao litoral norte do estado de São Paulo, ameaçada de extinção.
ARARIBÁ ROSA ( Centrolobium tomentosum.);O Araribá - Centrolobium tomentosum, é uma árvore brasileira, nativa da Mata Atlântica, na floresta estacional semidecidual, nas encostas pedregosas. Ocorre nos estados de MG, MS, GO, PR e SP. Árvore de crescimento rápido, atinge até 22 metros de altura. Seus frutos alados são dotados de espinhos e bastante grandes e duros. Madeira de grande qualidade, considerada madeira de lei pelo mercado brasileiro.
ARATICUM CAGÃO ( Annona cacans.);Várias Anonáceas são chamadas de Araticum. O nome indígena significa, em guarani, fruto do céu, pelo sabor. Pela beleza de sua planta, poderia ser utilizada como ornamental.
ARBUSTO ELEFANTE (Portulacaria afra);Bastante variada, esta suculenta cheia de folhas pequenas, arredondadas em tom verde claro, pode eventualmente assumir tons mais escuros dependendo de seu local de cultivo. É uma das variedades de suculentas mais altas que tem, podendo chegar a 2,50 metros de comprimento.
Arbustos no Paisagismo;96 espécies de arbustos para você escolher e usar no seu projeto de paisagismo.
ARECA BAMBU (Dypsis lutescens);
ARECA DE LOCUBA (Dypsis madagascariensis);
AROEIRA MANSA (Schinus terebinthifolius) ;
AROEIRA PIMENTEIRA (Schinus terebinthifolia);A Aroeira-mansa é uma árvore bastante interessante para arborização urbana. Seu porte médio e a frutificação ornamental, aliados à rusticidade da planta, fazem com que ela seja uma excelente escolha para o paisagismo, prestando-se como arvoreta e cerca-viva. Ela também é indicada para reflorestamento de áreas degradas, pois é uma árvore pioneira.
AROEIRA PRETA (Myracrodruon urundeuva);Aroeira é excelente para nossas calçadas , porque realmente é uma bela árvore. É um espetacúlo quando está com seus frutos, boa opção para o paisagismo urbano.
AROEIRA PRETA (Myracrodruon urundeuva)     ;
AROEIRA SALSA ( Schinus molle);A Aroeira-salsa é uma árvore relativamente pequena, que alcança de 4 a 8 metros de altura, com folhas caídas e cheirosas, que tem se popularizado muito no paisagismo de todo o mundo. A árvore é nativa do Brasil, e ocorre de Minas Gerais até o Rio Grande do Sul, principalmente nas regiões mais altas.
AROEIRA SALSA (Schinus molle);
Name;Description
Arranjos & Flores ;Manual completo para fazer arranjos no jardim ou dentro de casa.
ARRUDA (Ruta graveolens);
ARRUDA RUTA DE CHEIRO FORTE (Ruta graveolens);Esta planta é realmente muito versátil, visto que além de ser plantada em hortas, devido às suas propriedades fitoterápicas e condimentares, ela também é ornamental e cria excelentes contrastes com flores, forrações e folhagens devido à sua folhagem delicada, de cor azulada.
Árvore da Felicidade  (Polyscias guilfoylei);
Árvores Brasileiras;Árvores Brasileiras Vol-1 contém as mais comuns e importantes espécies de porte arbóreo existentes em estado nativo no território brasileiro.
Árvores Brasileiras Volume 2 ;Continuação da obra “Árvores Brasileiras - vol. 01. Também contém 352 espécies, porém inclui principalmente espécies mais raras, além de possuir o mesmo desenho gráfico e composição
Árvores nativas da Amazônia. A floresta é cada arvore, plante uma no seu Jardim.;
Árvores Nativas do Brasil Volume 1;Além de todos os detalhes botânicos, Silvestre mostra, ainda, como as árvores influenciaram na história, arte e cultura do Brasil.
Arvores Nativas do Brasil Volume 2 ;Obra indispensável para pesquisadores, estudantes e até mesmo apaixonados por jardinagem, Árvores Nativas do Brasil acaba de receber o segundo volume da trilogia.
As melhores Frutíferas para o seu Pomar - E-book sobre o tema;
ASPARGO OLIVIO ( Aspargus officinalis);Brotos verdes e carnudos com gemas de coloração púrpura. Sabor fresco e exclusivo. Farto em vitaminas, sais minerais e considerado um dos legumes mais ricos em proteínas. Ótimo rendimento para conserva e venda em maços.
ASPLÊNIO (Asplenium nidus);
ASTER DA CHINA PLUMA DE AVESTRUZ DOBRADA ( Callistephus chinensis.);"Sementes de Áster ""Pluma de Avestruz"" Sortida. Uma herbácea anual, de floração abundante. Com porte de cerca de 30 a 40 cm e folhas espatuladas, alternas e pilosas. As inflorescências da áster são solitárias, do tipo capítulo, dobradas nesta variedade e sortidas nas cores branca, roxa, azul, vermelha e rosa."
AVE DO PARAÍSO (Strelitzia reginea);
AZALÉA (Rhododendron simsii);
AZEDINHO ( Dialium guianense.);Rica em vitaminas B e C, além de cálcio e outros minerais, a planta é repleta de benefícios à saúde, contando com ação diurética e febrífuga, além de anti-inflamatória, desintoxicante, antibacteriana, cicatrizante, adstringente, anticancerígena, hepática, laxante, antiescorbútica, antisséptica, entre outras.
AZEITONA DO CEILÃO ( Elaeocarpus serratus);Quem não conhece a Azeitona-do-Ceilão e se depara com a árvore carregada do fruto que se parece a uma azeitona comum, não resiste, e acaba se decepcionando com o gosto amargo e ácido. A falsa azeitona em nada lembra o fruto da oliveira, a não ser na aparência.
AZULZINHA (Evolvulus glomeratus);
BABOSA BRANCA ( Cordia superba);"Possui flores brancas notáveis que se destacam salpicadas na folhagem escura; desabrocha primeiro a flor terminal e depois as laterais, isso explica que encontremos botões, e na ponta dos raminhos, frutos. Os frutos, um tanto pegajosos e muito doces, são disputados pelos pássaros"
BABOSA BRANCA (Cordia superba);
Name;Description
BALSAMINHO (Diptychandra aurantiaca.);Árvore decídua, de 4 m a 10 m de altura, heliófila, característica da floresta estacional semidecidual e cerradão. Considerada boa para moirão, muito usada no Pantanal, serve para construção, tornearia, dormente, lenha e carvão
BALSAMO MEDICINAL (Sedum dendroideum);
Bambu Barriga de Buda (Buddha Belly);
Bambu Gracilis (Bambusa Gracilis);
Bambu Guadua (Guadua angustifolia) USE O CUPOM GUADUA50OFF NO CARRINHO PARA O DESCONTO ;Bambu muito bonito, é verde claro com faixas brancas nos nós (divisória dos bambus). De grande porte, atinge 20 metros de altura com varas de 12 a 15 cm de diâmetro que ficam separadas entre si por 30 a 60 cm. Não alastra (simpodial). Forma boa sobra, alamedas ou cercas vivas.
Bambu Listrado (Pleioblastus variegatus);
Bambu Preto (Phyllostachys Nigra Muchisasa);Com caule preto é extremamente raro e atinge três metros de altura, no máximo. Possui folhas que contrastam com caule, cresce rápido e pode ser usado para ornamentar jardins, fechar espaços ou contenção de vento e poeira.
Bambu Sitio da Mata (B. vulgaris vittata verde com verde) - sob encomenda;
Bambu Sitio da Mata (B. vulgaris vittata verde com verde) - sob encomenda;Bambu “nascido” no Sitio da Mata pelo cruzamento de espécies, é de cor verde com listras verdes escuras. Bom para sombra, tuneis, ornamentar grandes jardins,  fechar grandes espaços, atinge 12 metros de altura e não alastra (simpodial). Colmos com diâmetro de 12 cm, em media.
BARBATIMÃO VERDADEIRO ( Stryphnodendron adstringens.);O Barbatimão é uma planta medicinal, também conhecida como Barbatimão-verdadeiro, barba-de-timan, casca-da-mocidade ou ubatima, e é muito usada para ajudar a tratar feridas, hemorragias, queimaduras, dores de garganta ou inchaços e hematomas na pele, por exemplo.
BARÚ ( Dipteryx alata);O Baru é uma árvore imponente e bela, que além de oferecer sombra farta, pode chegar a 25 metros de altura. Possui floração incomum e os deliciosos e nutritivos frutos, semelhante amêndoa,  são muito aromáticos, além de possuírem sabor semelhante ao do amendoim e da castanha de caju e são de grande valor nutricional, com altos teores de proteína.
BARU (Dipteryx alata);
BATATAS DE DÁLIA (Dahlia pinnata);
BAUNILHA (Vanilla planifolia);
BEIJO ALEMÃO (Impatiens walleriana (Impatiens sp));
BELA DA MANHA TRICOLOR SORTIDA  (Convolvulus tricolor);Sementes de Bela-da-manhã Tricolor Sortida Variedade anual, indicada para a bordadura de jardins e canteiros. Apresenta flores grandes de cores variadas, mas sempre com centro branco. Abrem no início da manhã e fecham no início da noite.
BELA EMÍLIA (Plumbago auriculata);
BERINJELA PRETA COMPRIDA (Solanun melongena.);A Berinjela Preta Comprida/Embu tem seu fruto na forma cilíndrico e sua cor é roxa. A Berinjela Preta Comprida/Embu também é conhecida pelo seu nome científico: Solanum melongena.
BETERRABA MARAVILHA (Beta vulgaris esculenta.);A raiz tuberosa da Beterraba é um dos alimentos vegetais mais versáteis que existem. É uma das hortaliças mais ricas em ferro e possui bom teor de proteínas. Combate a anemia, pois ajuda a formar os glóbulos vermelhos do sangue.
BLUEBERRY (Vaccinium ashei);
Name;Description
BOCA DE LEAO ANA SORTIDA ANTIR ( Antirrhinum majus);Sementes de Boca-de-Leão Anã, em cores sortidas: branca, rosa, lilás, vermelha, amarela e roxa. Uma planta florífera excelente para a formação de canteiros e maciços a pleno sol.
Brilhantina (Sedum makinoi);.A Brilhantina possui folhas ovais, suculentas e brilhantes, em cores que variam do verde-escuro ao amarelado. Suas flores são pequenas e surgem na Primavera, quando são muito visitadas por borboletas.
BROCOLIS RAMOSO BRASILIA ORGÂNICO (Brassica oleracea);"Hastes e inflorescência com coloração verde brilhante, hastes longas e tenras Precocidade na colheita, hastes de boa textura com maior número de brotações laterais, período mais prolongado na colheita. Resistência a nematoides M.javanica."
BROMÉLIA (Aechmaea nidicaulis);
BROMÉLIA (Bromélia gusmania);
BROMÉLIA (Neoregelia sheba) muda com porte até 0,60m;
BROMÉLIA (Neoregelia vandarm);
BUXINHO (Buxus sempervirens) - muda, h=0,60m;
CABELUDINHA (Myrciaria glazioviana);
CABREUVA ( Myroxylon peruiferum);A Cabreuva é nativa do nordeste chega medir 30 metros de altura, ótima para arborização urbana e rodoviária.
CABREÚVA (Myroxylon peruiferum);
Cactos e Outras Suculentas;Além de uma completa explanação sobre este grupo de plantas e o seu cultivo, a obra é completada por um capítulo descritivo sobre o seu uso na decoração.
CAJÁ MANGA (Spondias cytherea);
CAJA MIRIM (Spondias mombin.);O Cajá-Mirim faz parte da mesma família de outras frutas como o umbu, a ciriguela, a cajarana e a cajá-manga. A madeira dessa árvore é considerada leve e mole e, portanto, fácil de trabalhar. Tanto que é própria para marcenaria e carpintaria. No Norte, inclusive, é empregada para a construção de pequenas embarcações. Embora tenha uma boa germinação, ela costuma ser demorada.
CAJÚ (Anacardium occidentale);
CAJU AMARELO (Anacardium occidentale);Nativo do nordeste brasileiro, o Caju é indicado também para pomares domésticos por não exigir cuidados especiais. Melhor colheita é realizada de Agosto a Janeiro.
CAJU VERMELHO ( Anacardium occidentale);Nativo do nordeste brasileiro, o Caju é indicado também para pomares domésticos por não exigir cuidados especiais. Melhor colheita é realizada de Agosto a Janeiro.
CALABURA (Muntingia calabura);
CALANCHOE ANÃO (Kalanchoe pumila);O Kalanchoê anão é uma crassulácea com hastes arqueadas de folhas congeladas, e cachos de flores rosa com veias roxas na Primavera.
CALENDULA BONINA SORTIDA ( Calendula officinalis);Calendula officinalis, conhecida como calêndula ou margarida é uma planta do género Calendula. Era usada na Grécia, Roma, Arábia e Índia antigas como planta medicinal bem como corante têxtil, corante alimentar e em cosméticos.
Name;Description
CALIANDRA (Calliandra tweedii);
CALISTEMON (Callistemon spp);Destacada como árvore isolada no paisagismo é usada também como cerca – viva. Muito exótica com sua beleza singular, pode chegar até 7 metros de altura.
CALISTEMON VIMINALIS ( Callistemon spp);Destacada como árvore isolada no paisagismo é usada também como cerca viva. Muito exótica com sua beleza singular, pode chegar até 7 metros de altura.
CAMARÃO AMARELO (Pachystachys lutea);
CAMARÃO VERMELHO (Justicia brandegeana);Sua floração é muito interessante e delicada no paisagismo. É adequada para formação de bordaduras e multiplicada em ramagem, podendo chegar a alcançar 1 metro de altura atraindo muitas borboletas e beija - flor.
CAMBUCÁ (Marlierea edulis);
CAMBUCI (Campomanesia phaea);
CAMOMILA (Chamomilla recutita (L.) rauschert);
CAMU CAMU ( Myrciaria dubia.) Sob encomenda;O Camu-Camu, caçari, ou araçá-d'água (Myrciaria dubia H. B. K. (McVough) é um arbusto ou pequena árvore, pertencente a família Myrtaceae, disperso em quase toda a Amazônia, encontrado no estado silvestre nas margens dos rios e lagos, geralmente de água preta. Em seu habitat natural a planta pode permanecer submersa por 4 a 5 meses.
CANAFÍSTULA (Peltophorum dubium);A Canafístula é uma excelente opção para o paisagismo urbano ou rural. Ela produz sombra fresca no verão e perde parte ou todas as folhas no inverno. Sua floração é um verdadeiro espetáculo de flores amarelas e forma um tapete de pétalas no chão. Ecologicamente é considerada uma importante árvore oportunista, que se beneficia de clareiras, sendo por este motivo utilizada em recuperação de áreas degradadas.
CANAFÍSTULA (Peltophorum dubium);
CANAFISTULA BRANCA FAVEIRA ( Peltophorum dubium);A Canafístula é uma excelente opção para o paisagismo urbano ou rural. Ela produz sombra fresca no verão e perde parte ou todas as folhas no inverno. Sua floração é um verdadeiro espetáculo de flores amarelas e forma um tapete de pétalas no chão.
CANDEIA(Gochnatia polymorpha);
CANDEIA/CAMBARÁ PEROLA (Gochnatia polymorpha.);A Candeia é uma espécie recomendada para reconstituição de ecossistemas degradados. Apresenta copa rala. Propicia processo secessional rico e diversificado, desde que haja, nas proximidades, fontes de sementes de outras espécies. As folhas dessa espécie são empregadas na medicina popular, em forma de chás, nas afecções bronco-pulmonares como expectorante e como emoliente. Espécie utilizada em arborização de ruas e avenidas e plantada em parques e praças.
CANELINHA (Nectandra megapotamica);A Canelinha é destacada como árvore isolada no paisagismo e usada também como cerca viva. Muito exótica com sua beleza singular, pode chegar até 7 metros de altura.
CANELINHA(Nectandra megapotamica);
CÂNFORA (Cinnamomum camphora);
CANJAMBO (Guarea kunthiana.);Árvore nativa do Brasil, que produz frutos de grande beleza em pencas, conhecidos como figo do mato. Frutos atrativos para muitos tipos de pássaros, principalmente tucanos. Ótima árvore para utilização em reflorestamentos de áreas degradadas, por ser nativa e atrativa de pássaros e animais da fauna.
